DATETIME,HEADLINE,SUMMARY,SOURCE,URL,CATEGORIES,TAGS,asset,text
2025-07-31 17:17:37+00:00,How Michael Saylor’s Strategy Built a $71 Billion Bitcoin Stash: Top Purchases Revealed,"Michael Saylor''s Strategy has become a dominant force in the Bitcoin space, accumulating over 607,770 BTC worth $71 billion.",zycrypto,https://zycrypto.com/how-michael-saylors-strategy-built-a-71-billion-bitcoin-stash-top-purchases-revealed/,BTC,Bitcoin|News|Bitcoin News|BTCUSD|BTCUSDC|BTCUSDT|Cryptocurrency News|Michael Saylor|XBTUSD,BTC,"How Michael Saylor’s Strategy Built a $71 Billion Bitcoin Stash: Top Purchases Revealed. Michael Saylor''s Strategy has become a dominant force in the Bitcoin space, accumulating over 607,770 BTC worth $71 billion."
2025-07-31 17:22:28+00:00,"Ancient Bitcoin Whale Moves 180 BTC to Market Maker, Signaling Possible Strategic Reallocation","🚀 Are You Chasing New Coins? Catch the newest crypto opportunities. Be the first to buy, be the first to win! Click here to discover new altcoins! An ancient Bitcoin",coinotag,https://en.coinotag.com/ancient-bitcoin-whale-moves-180-btc-to-market-maker-signaling-possible-strategic-reallocation/,BTC|MARKET|MKR|ALTCOIN,Analysis|Bitcoin|News|BTC|MKR,BTC,"Ancient Bitcoin Whale Moves 180 BTC to Market Maker, Signaling Possible Strategic Reallocation. 🚀 Are You Chasing New Coins? Catch the newest crypto opportunities. Be the first to buy, be the first to win! Click here to discover new altcoins! An ancient Bitcoin"
2025-07-31 17:27:11+00:00,"Tether, One of the Largest Cryptocurrency Companies, Releases Its Earnings Report – Here Are Its Assets","Tether, the world''s largest stablecoin issuer, has published its financial audit report for the second quarter of 2025. According to a report prepared by independent auditing firm BDO, the company issued over $13.4 billion worth of new USDT in the second quarter of the year, bringing the circulating supply to over $157 billion. The total amount of USDT issued since the beginning of the year has reached $20 billion. Tether''s total assets reached approximately $162.6 billion as of June 30, 2025. During the same period, its total liabilities stood at $157.1 billion, almost all of which correspond to digital tokens in circulation. The company''s assets exceeding its liabilities, according to the press release, demonstrate its strong financial structure, while its shareholder equity of approximately $5.47 billion is noteworthy. Tether''s reliance on US Treasury securities has reached a staggering level. The company holds $105.5 billion in direct US Treasury securities and $21.3 billion in indirect US Treasury securities. This makes Tether one of the largest global buyers of US debt, holding over $127 billion in total US debt. The company generated approximately $4.9 billion in net profit in the second quarter of 2025. Total net profit for the first six months of the year was $5.7 billion. $3.1 billion of this figure came from regular operating income and $2.6 billion from the market valuation of its gold and Bitcoin holdings. A significant portion of these profits was channeled into strategic investments. Tether continues to channel its growing profitability into long-term projects. Among the investments made in the last six months, projects like XXI Capital, Rumble, and the Rumble Wallet development stand out. The US has received the largest share of these investments, with a total of nearly $4 billion in capital being channeled into the local ecosystem. Related News: Experienced Analyst Introduces Special Metric: Is Bitcoin Price Likely to Go Up or Down? Here Are the Results Tether CEO Paolo Ardoino stated that the company''s influence in the global financial system is growing. “With over $127 billion in US Treasury positions, strong gold and Bitcoin reserves, and over $20 billion in new USDT issued in 2025, we are not only responding to demand, we are also shaping the future of the digital dollar,” Ardoino said. Tether''s key financial data as of Q2 2025 is as follows: Total Assets: $162.57 billion Total Liabilities: $157.1 billion Net Profit (Q2 2025): ~$4.9 billion USDT in circulation: $157 billion US Treasury Bond Position: $127 billion *This is not investment advice. Continue Reading: Tether, One of the Largest Cryptocurrency Companies, Releases Its Earnings Report – Here Are Its Assets",bitcoinsistemi,https://en.bitcoinsistemi.com/tether-one-of-the-largest-cryptocurrency-companies-releases-its-earnings-report-here-are-its-assets/,USDT|REGULATION|BTC|BUSINESS|SPONSORED,News|Tether,BTC,"Tether, One of the Largest Cryptocurrency Companies, Releases Its Earnings Report – Here Are Its Assets. Tether, the world''s largest stablecoin issuer, has published its financial audit report for the second quarter of 2025. According to a report prepared by independent auditing firm BDO, the company issued over $13.4 billion worth of new USDT in the second quarter of the year, bringing the circulating supply to over $157 billion. The total amount of USDT issued since the beginning of the year has reached $20 billion. Tether''s total assets reached approximately $162.6 billion as of June 30, 2025. During the same period, its total liabilities stood at $157.1 billion, almost all of which correspond to digital tokens in circulation. The company''s assets exceeding its liabilities, according to the press release, demonstrate its strong financial structure, while its shareholder equity of approximately $5.47 billion is noteworthy. Tether''s reliance on US Treasury securities has reached a staggering level. The company holds $105.5 billion in direct US Treasury securities and $21.3 billion in indirect US Treasury securities. This makes Tether one of the largest global buyers of US debt, holding over $127 billion in total US debt. The company generated approximately $4.9 billion in net profit in the second quarter of 2025. Total net profit for the first six months of the year was $5.7 billion. $3.1 billion of this figure came from regular operating income and $2.6 billion from the market valuation of its gold and Bitcoin holdings. A significant portion of these profits was channeled into strategic investments. Tether continues to channel its growing profitability into long-term projects. Among the investments made in the last six months, projects like XXI Capital, Rumble, and the Rumble Wallet development stand out. The US has received the largest share of these investments, with a total of nearly $4 billion in capital being channeled into the local ecosystem. Related News: Experienced Analyst Introduces Special Metric: Is Bitcoin Price Likely to Go Up or Down? Here Are the Results Tether CEO Paolo Ardoino stated that the company''s influence in the global financial system is growing. “With over $127 billion in US Treasury positions, strong gold and Bitcoin reserves, and over $20 billion in new USDT issued in 2025, we are not only responding to demand, we are also shaping the future of the digital dollar,” Ardoino said. Tether''s key financial data as of Q2 2025 is as follows: Total Assets: $162.57 billion Total Liabilities: $157.1 billion Net Profit (Q2 2025): ~$4.9 billion USDT in circulation: $157 billion US Treasury Bond Position: $127 billion *This is not investment advice. Continue Reading: Tether, One of the Largest Cryptocurrency Companies, Releases Its Earnings Report – Here Are Its Assets"
2025-07-31 17:27:37+00:00,Bitcoin ’tick tock’ fractal predicts $150K BTC price top in October,"Bitcoin begins a 77-day historical countdown to its potential 2025 peak, with targets around $150,000 and higher.",cointelegraph,https://cointelegraph.com/news/bitcoin-tick-tock-fractal-predicts-150k-btc-price-top-october?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,BTC|TRADING,,BTC,"Bitcoin ’tick tock’ fractal predicts $150K BTC price top in October. Bitcoin begins a 77-day historical countdown to its potential 2025 peak, with targets around $150,000 and higher."
2025-07-31 17:30:20+00:00,Bolivia Partners El Salvador to Build a Strong Crypto Future,"Bolivia is entering a new stage in its financial journey by moving toward crypto adoption. On July 30, 2025, Bolivia’s Central Bank (BCB) signed an important agreement with El Salvador’s National Commission of Digital Assets (CNAD). The goal is to collaborate on improving rules for digital assets and developing blockchain technology. This move shows that Bolivia wants a safer and more advanced financial system. A Strategic Partnership to Share Knowledge and Experience The agreement signed between the two countries is called a memorandum of understanding (MoU). This agreement allows both countries to exchange ideas and improve their knowledge of how to regulate and manage digital assets and blockchain technology . The MoU will allow Bolivia and El Salvador to exchange information on crypto laws and regulatory policies. Both countries will join forces to create tools that lower risks and make digital assets safer. They also plan to use blockchain technology to boost transparency and help spot fraud or misuse. The main goal is to build safe, well-regulated systems that support financial progress and new ideas. Learning from El Salvador’s Crypto Journey El Salvador has led the way in using cryptocurrency. In 2021, it became the first country to make Bitcoin (BTC) an official currency, under President Nayib Bukele. The Central American country continues to expand its Bitcoin reserves and has enacted favourable laws to attract crypto companies. This strategy has attracted major investors, including Tether, a prominent stablecoin issuer. Even though financial groups like the International Monetary Fund (IMF) have criticized the move, El Salvador has stayed focused on its crypto plans . Now, Bolivia wants to learn from El Salvador’s experience to develop its own digital asset policies. Bolivia’s Policy Change and Growing Interest in Crypto This partnership follows Bolivia’s significant shift from strict crypto rules to a more open approach. In June 2024, the government passed Resolution 082/2024, which ended the long-term ban on digital assets. The new law allows crypto trading and digital payments under clear regulations. Since that change, Bolivia has seen a sharp rise in crypto use. In June 2024, crypto transactions were worth around $46.5 million. A year later, the value had grown to nearly $294 million. This shows that people and businesses in Bolivia are quickly adopting digital assets now that they are legal. Bolivia has also started to use crypto for trade. The government has allowed the national oil company, YPFB, to use digital currencies when buying fuel from other countries. This is especially important because Bolivia has been facing problems with foreign currency shortages. This move shows how serious the country is about including crypto in its national economy. The post Bolivia Partners El Salvador to Build a Strong Crypto Future appeared first on TheCoinrise.com .",thecoinrise,https://thecoinrise.com/bolivia-partners-el-salvador-to-build-a-strong-crypto-future/,BLOCKCHAIN|BTC|REGULATION|TECHNOLOGY|EXCHANGE,Bitcoin News|Crypto Adoption|El Salvador,BTC,"Bolivia Partners El Salvador to Build a Strong Crypto Future. Bolivia is entering a new stage in its financial journey by moving toward crypto adoption. On July 30, 2025, Bolivia’s Central Bank (BCB) signed an important agreement with El Salvador’s National Commission of Digital Assets (CNAD). The goal is to collaborate on improving rules for digital assets and developing blockchain technology. This move shows that Bolivia wants a safer and more advanced financial system. A Strategic Partnership to Share Knowledge and Experience The agreement signed between the two countries is called a memorandum of understanding (MoU). This agreement allows both countries to exchange ideas and improve their knowledge of how to regulate and manage digital assets and blockchain technology . The MoU will allow Bolivia and El Salvador to exchange information on crypto laws and regulatory policies. Both countries will join forces to create tools that lower risks and make digital assets safer. They also plan to use blockchain technology to boost transparency and help spot fraud or misuse. The main goal is to build safe, well-regulated systems that support financial progress and new ideas. Learning from El Salvador’s Crypto Journey El Salvador has led the way in using cryptocurrency. In 2021, it became the first country to make Bitcoin (BTC) an official currency, under President Nayib Bukele. The Central American country continues to expand its Bitcoin reserves and has enacted favourable laws to attract crypto companies. This strategy has attracted major investors, including Tether, a prominent stablecoin issuer. Even though financial groups like the International Monetary Fund (IMF) have criticized the move, El Salvador has stayed focused on its crypto plans . Now, Bolivia wants to learn from El Salvador’s experience to develop its own digital asset policies. Bolivia’s Policy Change and Growing Interest in Crypto This partnership follows Bolivia’s significant shift from strict crypto rules to a more open approach. In June 2024, the government passed Resolution 082/2024, which ended the long-term ban on digital assets. The new law allows crypto trading and digital payments under clear regulations. Since that change, Bolivia has seen a sharp rise in crypto use. In June 2024, crypto transactions were worth around $46.5 million. A year later, the value had grown to nearly $294 million. This shows that people and businesses in Bolivia are quickly adopting digital assets now that they are legal. Bolivia has also started to use crypto for trade. The government has allowed the national oil company, YPFB, to use digital currencies when buying fuel from other countries. This is especially important because Bolivia has been facing problems with foreign currency shortages. This move shows how serious the country is about including crypto in its national economy. The post Bolivia Partners El Salvador to Build a Strong Crypto Future appeared first on TheCoinrise.com ."
2025-07-31 17:30:50+00:00,Bitcoin Shrugs Off Brief Fed Panic,"Most experts agreed that the U.S. Federal Reserve was going to once again leave interest rates untouched, but bitcoin still tumbled when the central bank published its official decision. BTC Brushes Off Fed Shock, Bounces Back There were few, if any, surprises at Fed Chair Jerome Powell’s press conference on Wednesday, but bitcoin still plummeted",bitcoin.com,https://news.bitcoin.com/bitcoin-shrugs-off-brief-fed-panic/,BTC|FIAT|MARKET,Markets and Prices|Bitcoin (BTC)|Prices,BTC,"Bitcoin Shrugs Off Brief Fed Panic. Most experts agreed that the U.S. Federal Reserve was going to once again leave interest rates untouched, but bitcoin still tumbled when the central bank published its official decision. BTC Brushes Off Fed Shock, Bounces Back There were few, if any, surprises at Fed Chair Jerome Powell’s press conference on Wednesday, but bitcoin still plummeted"
2025-07-31 17:31:51+00:00,Hyper Leads BTC Rally with $11.77M Surge in Long Positions and Highest Win Rate,"🚀 Are You Chasing New Coins? Catch the newest crypto opportunities. Be the first to buy, be the first to win! Click here to discover new altcoins! Hyper, the leading",coinotag,https://en.coinotag.com/breakingnews/hyper-leads-btc-rally-with-11-77m-surge-in-long-positions-and-highest-win-rate/,BTC|TRADING|ALTCOIN,BTC,BTC,"Hyper Leads BTC Rally with $11.77M Surge in Long Positions and Highest Win Rate. 🚀 Are You Chasing New Coins? Catch the newest crypto opportunities. Be the first to buy, be the first to win! Click here to discover new altcoins! Hyper, the leading"
2025-07-31 17:44:29+00:00,"Bitcoin May Approach $150,000 by October as New Investor Activity Signals Potential Upside","🚀 Are You Chasing New Coins? Catch the newest crypto opportunities. Be the first to buy, be the first to win! Click here to discover new altcoins! Bitcoin is entering",coinotag,https://en.coinotag.com/bitcoin-may-approach-150000-by-october-as-new-investor-activity-signals-potential-upside/,BTC|BUSINESS|ALTCOIN,Bitcoin|News,BTC,"Bitcoin May Approach $150,000 by October as New Investor Activity Signals Potential Upside. 🚀 Are You Chasing New Coins? Catch the newest crypto opportunities. Be the first to buy, be the first to win! Click here to discover new altcoins! Bitcoin is entering"
2025-07-31 17:45:15+00:00,Fold Taps Blackhawk to Bring Bitcoin Gift Cards to Over 400K Retailers,The companies want to make BTC as accessible and flexible as possible for both new and experienced users.,decrypt,https://decrypt.co/332931/fold-working-blackhawk-expand-bitcoin-gift-card-offering,BTC|MARKET,|Markets,BTC,Fold Taps Blackhawk to Bring Bitcoin Gift Cards to Over 400K Retailers. The companies want to make BTC as accessible and flexible as possible for both new and experienced users.
2025-07-31 17:46:08+00:00,New whales trigger Bitcoin’s third profit-taking wave of current cycle,"A fresh wave of profit-taking from newly emerged Bitcoin whales has marked the third major distribution event of this bull run, according to CryptoQuant.",cointelegraph,https://cointelegraph.com/news/bitcoin-whales-profit-taking-2025-surge?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,BTC|TRADING,,BTC,"New whales trigger Bitcoin’s third profit-taking wave of current cycle. A fresh wave of profit-taking from newly emerged Bitcoin whales has marked the third major distribution event of this bull run, according to CryptoQuant."
