DATETIME,HEADLINE,SUMMARY,SOURCE,URL,CATEGORIES,TAGS,asset,text
2025-07-28 22:28:50+00:00,Trump’s Truth Social Bitcoin ETF among multiple crypto funds delayed by SEC,"The SEC delayed decisions on the Truth Social Bitcoin ETF and Grayscale’s Solana Trust, extending review periods as the US Congress moves with crypto regulation.",cointelegraph,https://cointelegraph.com/news/trump-truth-social-bitcoin-etf-delayed-crypto-fund-sec?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,REGULATION|BTC|SOL,,BTC,"Trump’s Truth Social Bitcoin ETF among multiple crypto funds delayed by SEC. The SEC delayed decisions on the Truth Social Bitcoin ETF and Grayscale’s Solana Trust, extending review periods as the US Congress moves with crypto regulation."
2025-07-28 22:32:17+00:00,SEC May Extend Review on Truth Social Bitcoin ETF Amid Regulatory and Ethical Considerations,"🚀 Are You Chasing New Coins? Catch the newest crypto opportunities. Be the first to buy, be the first to win! Click here to discover new altcoins! The SEC has",coinotag,https://en.coinotag.com/sec-may-extend-review-on-truth-social-bitcoin-etf-amid-regulatory-and-ethical-considerations/,BTC|REGULATION|LTC|SOL|ALTCOIN,News|BTC|LTC|SOL,BTC,"SEC May Extend Review on Truth Social Bitcoin ETF Amid Regulatory and Ethical Considerations. 🚀 Are You Chasing New Coins? Catch the newest crypto opportunities. Be the first to buy, be the first to win! Click here to discover new altcoins! The SEC has"
2025-07-28 22:35:00+00:00,"Ethereum Treasuries Face Unique Risks Compared to Bitcoin Firms, Says Bernstein","Ethereum treasuries are generating staking rewards, but that also presents liquidity and smart contract risks, Bernstein wrote Monday.",decrypt,https://decrypt.co/332141/ethereum-treasury-companies-face-unique-risks-compared-bitcoin-bernstein,ETH|BTC|BUSINESS,||Business,BTC,"Ethereum Treasuries Face Unique Risks Compared to Bitcoin Firms, Says Bernstein. Ethereum treasuries are generating staking rewards, but that also presents liquidity and smart contract risks, Bernstein wrote Monday."
2025-07-28 22:45:00+00:00,Crypto on deck? Interactive Brokers explores stablecoin launch,"Interactive Brokers joins a number of traditional finance institutions who are considering entering the stablecoin space, including JPMorgan Chase and Citigroup.",Cointelegraph,https://cointelegraph.com/news/interactive-brokers-stablecoin-crypto?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,,,BTC,"Crypto on deck? Interactive Brokers explores stablecoin launch. Interactive Brokers joins a number of traditional finance institutions who are considering entering the stablecoin space, including JPMorgan Chase and Citigroup."
2025-07-28 22:58:44+00:00,"SEC Postpones Truth Social Bitcoin Spot ETF Decision, Potentially Influencing BTC Market Sentiment","🚀 Are You Chasing New Coins? Catch the newest crypto opportunities. Be the first to buy, be the first to win! Click here to discover new altcoins! The SEC has",coinotag,https://en.coinotag.com/sec-postpones-truth-social-bitcoin-spot-etf-decision-potentially-influencing-btc-market-sentiment/,BTC|REGULATION|MARKET|ALTCOIN,Bitcoin|News|BTC,BTC,"SEC Postpones Truth Social Bitcoin Spot ETF Decision, Potentially Influencing BTC Market Sentiment. 🚀 Are You Chasing New Coins? Catch the newest crypto opportunities. Be the first to buy, be the first to win! Click here to discover new altcoins! The SEC has"
2025-07-28 23:13:39+00:00,"SEC May Delay Truth Social Bitcoin ETF Decision, Impacting Bitcoin and Crypto Markets","🚀 Are You Chasing New Coins? Catch the newest crypto opportunities. Be the first to buy, be the first to win! Click here to discover new altcoins! The SEC has",coinotag,https://en.coinotag.com/sec-may-delay-truth-social-bitcoin-etf-decision-impacting-bitcoin-and-crypto-markets/,BTC|REGULATION|LTC|MARKET|SOL,Bitcoin|Litecoin|News|BTC|LTC|SOL|xAI,BTC,"SEC May Delay Truth Social Bitcoin ETF Decision, Impacting Bitcoin and Crypto Markets. 🚀 Are You Chasing New Coins? Catch the newest crypto opportunities. Be the first to buy, be the first to win! Click here to discover new altcoins! The SEC has"
2025-07-28 23:21:27+00:00,"SEC Delays Decision on Trump-Linked Bitcoin, Grayscale Solana ETFs",The SEC has pushed back its deadline on the Truth Social Bitcoin ETF and Grayscale Solana Trust by several weeks.,decrypt,https://decrypt.co/332167/sec-delays-decision-trump-bitcoin-grayscale-solana-etfs,BTC|REGULATION|SOL,||Law and Order,BTC,"SEC Delays Decision on Trump-Linked Bitcoin, Grayscale Solana ETFs. The SEC has pushed back its deadline on the Truth Social Bitcoin ETF and Grayscale Solana Trust by several weeks."
2025-07-28 23:24:11+00:00,SEC Extends Review Period for Truth Social Bitcoin ETF Amid Ongoing Regulatory Caution,"🚀 Are You Chasing New Coins? Catch the newest crypto opportunities. Be the first to buy, be the first to win! Click here to discover new altcoins! The SEC has",coinotag,https://en.coinotag.com/sec-extends-review-period-for-truth-social-bitcoin-etf-amid-ongoing-regulatory-caution/,REGULATION|BTC|ALTCOIN,News,BTC,"SEC Extends Review Period for Truth Social Bitcoin ETF Amid Ongoing Regulatory Caution. 🚀 Are You Chasing New Coins? Catch the newest crypto opportunities. Be the first to buy, be the first to win! Click here to discover new altcoins! The SEC has"
2025-07-28 23:33:22+00:00,"Bitcoin Price Dips Below $118,000 Amid Whale Sell-Off and Anticipated White House Crypto Policy","🚀 Are You Chasing New Coins? Catch the newest crypto opportunities. Be the first to buy, be the first to win! Click here to discover new altcoins! Bitcoin dropped below",coinotag,https://en.coinotag.com/bitcoin-price-dips-below-118000-amid-whale-sell-off-and-anticipated-white-house-crypto-policy/,BTC|TRADING|DOGE|ETH|ALTCOIN,Bitcoin|News|BTC|DOGE|ETH,BTC,"Bitcoin Price Dips Below $118,000 Amid Whale Sell-Off and Anticipated White House Crypto Policy. 🚀 Are You Chasing New Coins? Catch the newest crypto opportunities. Be the first to buy, be the first to win! Click here to discover new altcoins! Bitcoin dropped below"
2025-07-28 23:49:56+00:00,Trump Media’s Bitcoin ETF in limbo as SEC extends review timeline to September,"The US Securities and Exchange Commission (SEC) has postponed the approval of the Truth Social Bitcoin ETF. A ruling, which had previously been anticipated in July, has been postponed until September 18, 2025, according to an official filing issued on Monday. The ETF is linked to Truth Social, the social media app closely associated with President Donald Trump, who is also an active user on the platform. Trump Media submitted their ETF application in June , positioning them to be one of the early entrants into the rapidly growing digital asset investment space. “The Commission finds it appropriate to designate a longer period within which to take action on the proposed rule change so that it has sufficient time to consider the proposed rule change and the issues raised therein,” added the SEC in the letter. The delay means investors and analysts will wait at least two months before determining whether regulators approve a Bitcoin ETF linked to a politically charged brand. The fund would let small-dollar investors of the traditional variety gain access to Bitcoin as they buy shares on regular stock exchanges, without holding the cryptocurrency itself. If approved, the Truth Social Bitcoin ETF would only solidify Trump’s burgeoning sway in the crypto world. It would also add a politically branded fund to a category already setting records for investor demand . Approved crypto ETFs thrive as others face delays Since the beginning of the year, the SEC has green-lighted 12 spot Bitcoin ETFs, unleashing a wave of traditional investor access to the digital currency. Together, the ETFs have pulled in over $54.8 billion , making them one of the most successful U.S. ETF launches ever. Riding the wave, the SEC also approved Ethereum ETFs, solidifying crypto’s position in the pantheon of traditional finance. But other approvals have been more sluggish. The SEC remains cautious in considering ETFs for other digital assets such as Solana, Cardano, and Dogecoin. The SEC also delayed its decision on the Grayscale Solana Trust ETF on the same day it delayed the Truth Social ETF. The justices are now likely to issue a ruling by October 10. A handful of asset managers, including VanEck, Bitwise, 21Shares, and Canary, are vying for approval of their Solana-tethered ETFs. It’s not unusual for a cryptocurrency ETF decision to be delayed. The law allows the SEC as much as 240 days to make a final decision, during which it will weigh factors, including market stability, investor protection, custody arrangements, and susceptibility to market manipulation. Trump pushes pro-crypto agenda Once a crypto skeptic, Donald Trump has recently emerged as a high-profile technology booster. In the past few months, he has consistently expressed support for the crypto industry. He has also vowed to establish the United States as the global “crypto capital” and to cut regulatory red tape for digital assets. In a bold decision, Trump also selected long-time crypto supporter Paul Atkins as Chair of the SEC. Under Atkins, the Commission has reportedly been more open to crypto innovation, but cautiousness around altcoin products and politically affiliated initiatives like the Truth Social ETF still reigns. The president’s crypto ties are expanding. His name is linked to meme coins like TRUMP and MAGA, and his family is affiliated with a decentralized finance (DeFi) project called World Liberty Financial . Since Trump took office in January, the SEC has witnessed a significant boost in interest in ETF products tied to cryptocurrencies, everything from serious institutional products down to highly speculative altcoin funds. Still, regulatory oversight remains firm. Whilst the Trump-SEC has made strides in embracing the wider crypto-sphere, investor protection remains a top priority for the Commission. In the meantime, we can call a time-out on Trump Media’s Bitcoin ETF, frozen in a broader debate over how fast the U.S. should adopt digital assets. The September decision could become a turning point for politically sponsored crypto finance or bolster the SEC’s hesitancy. Cryptopolitan Academy: Want to grow your money in 2025? Learn how to do it with DeFi in our upcoming webclass. Save Your Spot",cryptopolitan,https://www.cryptopolitan.com/sec-postpones-approval-of-truth-social-bitcoin-etf/,REGULATION|BTC|BUSINESS|ALTCOIN|MARKET,News|Trump Media,BTC,"Trump Media’s Bitcoin ETF in limbo as SEC extends review timeline to September. The US Securities and Exchange Commission (SEC) has postponed the approval of the Truth Social Bitcoin ETF. A ruling, which had previously been anticipated in July, has been postponed until September 18, 2025, according to an official filing issued on Monday. The ETF is linked to Truth Social, the social media app closely associated with President Donald Trump, who is also an active user on the platform. Trump Media submitted their ETF application in June , positioning them to be one of the early entrants into the rapidly growing digital asset investment space. “The Commission finds it appropriate to designate a longer period within which to take action on the proposed rule change so that it has sufficient time to consider the proposed rule change and the issues raised therein,” added the SEC in the letter. The delay means investors and analysts will wait at least two months before determining whether regulators approve a Bitcoin ETF linked to a politically charged brand. The fund would let small-dollar investors of the traditional variety gain access to Bitcoin as they buy shares on regular stock exchanges, without holding the cryptocurrency itself. If approved, the Truth Social Bitcoin ETF would only solidify Trump’s burgeoning sway in the crypto world. It would also add a politically branded fund to a category already setting records for investor demand . Approved crypto ETFs thrive as others face delays Since the beginning of the year, the SEC has green-lighted 12 spot Bitcoin ETFs, unleashing a wave of traditional investor access to the digital currency. Together, the ETFs have pulled in over $54.8 billion , making them one of the most successful U.S. ETF launches ever. Riding the wave, the SEC also approved Ethereum ETFs, solidifying crypto’s position in the pantheon of traditional finance. But other approvals have been more sluggish. The SEC remains cautious in considering ETFs for other digital assets such as Solana, Cardano, and Dogecoin. The SEC also delayed its decision on the Grayscale Solana Trust ETF on the same day it delayed the Truth Social ETF. The justices are now likely to issue a ruling by October 10. A handful of asset managers, including VanEck, Bitwise, 21Shares, and Canary, are vying for approval of their Solana-tethered ETFs. It’s not unusual for a cryptocurrency ETF decision to be delayed. The law allows the SEC as much as 240 days to make a final decision, during which it will weigh factors, including market stability, investor protection, custody arrangements, and susceptibility to market manipulation. Trump pushes pro-crypto agenda Once a crypto skeptic, Donald Trump has recently emerged as a high-profile technology booster. In the past few months, he has consistently expressed support for the crypto industry. He has also vowed to establish the United States as the global “crypto capital” and to cut regulatory red tape for digital assets. In a bold decision, Trump also selected long-time crypto supporter Paul Atkins as Chair of the SEC. Under Atkins, the Commission has reportedly been more open to crypto innovation, but cautiousness around altcoin products and politically affiliated initiatives like the Truth Social ETF still reigns. The president’s crypto ties are expanding. His name is linked to meme coins like TRUMP and MAGA, and his family is affiliated with a decentralized finance (DeFi) project called World Liberty Financial . Since Trump took office in January, the SEC has witnessed a significant boost in interest in ETF products tied to cryptocurrencies, everything from serious institutional products down to highly speculative altcoin funds. Still, regulatory oversight remains firm. Whilst the Trump-SEC has made strides in embracing the wider crypto-sphere, investor protection remains a top priority for the Commission. In the meantime, we can call a time-out on Trump Media’s Bitcoin ETF, frozen in a broader debate over how fast the U.S. should adopt digital assets. The September decision could become a turning point for politically sponsored crypto finance or bolster the SEC’s hesitancy. Cryptopolitan Academy: Want to grow your money in 2025? Learn how to do it with DeFi in our upcoming webclass. Save Your Spot"
